Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00001,30-06-2026,2026,6,June,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Corporate Sale,SP 125,Commuter,125,Grey,20,Female,Finance,93915,4248,3408,5959,89385,282,98752,70286,28466,10,3.7
ORD00007,17-06-2025,2025,6,June,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Online Booking,SP 125,Commuter,125,Red,33,Male,Finance,87892,5548,6439,1150,0,2143,87790,75926,11864,8,4.6
ORD00017,14-12-2026,2026,12,December,Q4,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Shine 125,Commuter,125,Blue,38,Female,UPI,86960,1002,5777,9192,81464,4494,96433,68129,28304,6,3.9
ORD00025,16-06-2026,2026,6,June,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,SP 125,Commuter,125,Blue,39,Male,UPI,93016,969,7005,6210,87639,4408,100854,75813,25041,7,4.8
ORD00045,4/11/2026,2026,11,November,Q4,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Online Booking,SP 125,Commuter,125,Grey,21,Male,Cash,87683,4945,7082,3782,77907,4831,88771,76347,12424,7,4.6
ORD00049,26-02-2026,2026,2,February,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Hornet 2.0,Sports,184,Blue,36,Female,Finance,142897,4759,7484,3398,137186,952,148068,114647,33421,9,3.9
ORD00059,2/10/2026,2026,10,October,Q4,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Hornet 2.0,Sports,184,Grey,38,Female,UPI,139198,3060,7125,3214,131973,4165,142312,108515,33797,11,4.2
ORD00065,24-02-2025,2025,2,February,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,SP 125,Commuter,125,Black,45,Male,Finance,88110,684,3559,3165,0,2178,91972,72680,19292,1,4.8
ORD00067,24-01-2026,2026,1,January,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Corporate Sale,CB350,Premium,348,Grey,21,Female,Cash,210338,5363,7520,8903,202939,2036,219362,174152,45210,11,4.7
ORD00077,17-02-2025,2025,2,February,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Unicorn,Premium Commuter,160,Black,34,Male,Credit Card,110209,347,3266,7312,0,2417,118023,91896,26127,11,4
