Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00010,1/11/2025,2025,11,November,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,Unicorn,Premium Commuter,160,Blue,22,Female,Finance,113304,6286,6311,1298,0,4736,109891,84122,25769,14,4.8
ORD00075,7/9/2025,2025,9,September,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,SP 125,Commuter,125,Grey,40,Male,Finance,93196,6669,5907,4820,82373,4154,93100,74252,18848,10,4.1
ORD00080,15-09-2026,2026,9,September,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,Unicorn,Premium Commuter,160,Black,55,Male,Cash,109906,1645,7637,3167,104789,3472,115593,87536,28057,1,4.3
ORD00110,9/5/2026,2026,5,May,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,CB350,Premium,348,Blue,53,Female,Cash,209218,6811,7237,1156,0,1352,209448,170882,38566,6,3.5
ORD00131,23-12-2026,2026,12,December,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,CB350,Premium,348,White,55,Female,Credit Card,214365,2012,5379,3689,212200,153,221268,159874,61394,10,4.3
ORD00136,28-09-2026,2026,9,September,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,Activa 6G,Scooter,110,White,31,Male,Finance,77803,2771,3510,3801,0,4090,78253,60950,17303,10,4.8
ORD00149,17-01-2025,2025,1,January,Q1,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,Unicorn,Premium Commuter,160,Blue,49,Female,Credit Card,111931,4085,5183,1271,104877,2969,111331,85757,25574,15,4.1
ORD00168,11/6/2025,2025,6,June,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,Activa 6G,Scooter,110,Red,45,Male,UPI,84504,6414,5013,1759,74874,3216,81646,60007,21639,8,4.3
ORD00189,3/5/2026,2026,5,May,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,Hornet 2.0,Sports,184,White,26,Male,Finance,142085,6270,3349,7418,132495,3320,143262,115637,27625,15,4.8
ORD00205,11/2/2026,2026,2,February,Q1,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,Unicorn,Premium Commuter,160,Black,36,Male,UPI,114624,3009,6168,4443,109426,2189,120037,88995,31042,13,4.6
ORD00252,3/4/2025,2025,4,April,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,CB350,Premium,348,Black,51,Female,Cash,213681,4015,4923,2573,0,2970,214192,163843,50349,1,3.9
ORD00281,21-03-2025,2025,3,March,Q1,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,Unicorn,Premium Commuter,160,Blue,23,Female,Credit Card,113131,1432,5259,9423,0,3294,123087,85437,37650,14,4.7
ORD00292,20-07-2025,2025,7,July,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,CB350,Premium,348,White,41,Female,Finance,213549,6572,5488,5105,0,524,217046,176559,40487,7,4.9
ORD00339,30-04-2026,2026,4,April,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,Hornet 2.0,Sports,184,Blue,49,Male,UPI,137534,4096,7285,4921,0,3425,142219,106395,35824,12,4.7
ORD00351,5/12/2025,2025,12,December,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,Hornet 2.0,Sports,184,Black,39,Male,Cash,140731,1578,5811,6271,0,3264,147971,118627,29344,10,3.8
ORD00357,2/1/2025,2025,1,January,Q1,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,Activa 6G,Scooter,110,Blue,44,Male,Credit Card,82553,3901,6319,5916,77644,1008,89879,64820,25059,6,3.6
ORD00361,17-10-2026,2026,10,October,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,CB350,Premium,348,Black,52,Female,Finance,214630,1802,4151,1937,0,2875,216041,159502,56539,6,3.9
ORD00369,1/4/2026,2026,4,April,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,Unicorn,Premium Commuter,160,Red,31,Female,Finance,114746,827,3781,8589,109613,4306,121983,87815,34168,13,4
ORD00385,18-10-2026,2026,10,October,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,SP 125,Commuter,125,Blue,26,Female,Finance,92450,5384,5034,3828,0,2323,93605,73881,19724,1,4
ORD00395,16-11-2025,2025,11,November,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Showroom Walk-in,SP 125,Commuter,125,Red,34,Female,Finance,91635,5607,7337,3031,0,4382,92014,71698,20316,14,3.7
ORD00398,26-11-2025,2025,11,November,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,CB350,Premium,348,Blue,26,Male,Credit Card,211496,969,4552,1215,206725,3802,212492,169940,42552,12,4.4
ORD00400,10/4/2025,2025,4,April,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,Hornet 2.0,Sports,184,Red,26,Male,Credit Card,142897,6491,4560,4099,0,4527,140538,117535,23003,13,4.8
ORD00403,16-05-2025,2025,5,May,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,Shine 125,Commuter,125,Red,28,Female,Finance,88694,689,3540,1559,85737,2268,90836,70748,20088,1,4.7
ORD00411,7/7/2026,2026,7,July,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,SP 125,Commuter,125,Black,46,Male,UPI,89485,6476,6804,6252,0,2246,93819,67668,26151,9,4.9
