Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00032,1/5/2026,2026,5,May,Q2,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,SP 125,Commuter,125,Black,53,Male,Finance,87216,1368,7226,8228,0,4120,97182,69325,27857,5,4.5
ORD00040,14-09-2026,2026,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,SP 125,Commuter,125,Black,52,Female,UPI,88730,6798,3519,5554,79915,2017,88988,69786,19202,3,3.5
ORD00050,14-03-2025,2025,3,March,Q1,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Shine 125,Commuter,125,Blue,51,Female,Credit Card,89145,5516,3727,5359,0,810,91905,63879,28026,9,4.5
ORD00069,6/3/2026,2026,3,March,Q1,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,SP 125,Commuter,125,Black,55,Female,Cash,91543,57,5301,2852,88542,2944,96695,69636,27059,15,3.8
ORD00073,16-06-2026,2026,6,June,Q2,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Shine 125,Commuter,125,Grey,52,Male,Credit Card,84617,3186,7103,1527,78742,2689,87372,67803,19569,9,4.2
ORD00074,21-11-2025,2025,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Online Booking,Shine 125,Commuter,125,Red,23,Female,UPI,88643,3031,7691,3242,0,1676,94869,65286,29583,14,3.8
ORD00091,9/11/2026,2026,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Activa 6G,Scooter,110,Red,38,Male,UPI,79282,6745,4658,7847,68740,3797,81245,67506,13739,4,4.6
ORD00114,4/9/2025,2025,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,CB350,Premium,348,Grey,42,Male,UPI,214305,1018,6662,8237,0,3325,224861,160769,64092,4,4.4
ORD00137,14-11-2025,2025,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,CB350,Premium,348,Red,48,Female,Finance,207528,4509,4181,8681,202207,812,215069,161264,53805,5,3.7
ORD00154,24-07-2025,2025,7,July,Q3,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,SP 125,Commuter,125,Grey,20,Female,Cash,89848,3074,3084,4803,84873,1901,92760,71603,21157,3,4.3
ORD00172,10/9/2025,2025,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Unicorn,Premium Commuter,160,Grey,45,Male,Credit Card,113911,477,5035,2082,109188,4246,116305,86208,30097,1,3.9
ORD00181,26-12-2025,2025,12,December,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Hornet 2.0,Sports,184,Grey,29,Female,UPI,143828,2133,3449,3801,0,4514,144431,107107,37324,2,4.5
ORD00220,28-09-2025,2025,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Shine 125,Commuter,125,Grey,30,Female,UPI,86884,4934,7492,8164,77297,4653,92953,63965,28988,9,4.2
ORD00238,14-03-2025,2025,3,March,Q1,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Hornet 2.0,Sports,184,Grey,50,Male,UPI,139886,6154,5837,7534,0,1404,145699,108230,37469,3,4.5
ORD00245,8/4/2026,2026,4,April,Q2,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Shine 125,Commuter,125,Black,50,Male,Cash,85457,4915,4851,3490,76969,3573,85310,69260,16050,11,3.7
ORD00261,25-11-2025,2025,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,SP 125,Commuter,125,Blue,43,Male,Cash,92829,1713,3455,2016,0,3233,93354,70224,23130,3,4.9
ORD00264,2/4/2025,2025,4,April,Q2,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Unicorn,Premium Commuter,160,White,31,Female,Cash,108392,69,4010,6698,106321,2002,117029,92092,24937,10,4.5
ORD00272,3/11/2026,2026,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Hornet 2.0,Sports,184,Blue,50,Male,Credit Card,137372,2157,7852,5341,0,3363,145045,111185,33860,2,4
ORD00274,7/10/2026,2026,10,October,Q4,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Hornet 2.0,Sports,184,Red,46,Male,UPI,141905,5640,6225,9812,132805,3460,148842,114677,34165,8,4.7
ORD00280,26-11-2025,2025,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Shine 125,Commuter,125,Black,44,Female,Finance,83579,1967,3235,6074,0,1997,88924,70152,18772,13,4
ORD00284,28-03-2026,2026,3,March,Q1,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,CB350,Premium,348,White,35,Male,Finance,208866,3805,4100,4554,203291,1770,211945,163229,48716,2,4.7
ORD00334,13-01-2026,2026,1,January,Q1,Karnataka,Hubli,Honda Dealer Hubli,Online Booking,CB350,Premium,348,White,44,Female,UPI,210251,6322,6630,5915,200350,3579,212895,167512,45383,7,4.4
ORD00346,14-04-2025,2025,4,April,Q2,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Shine 125,Commuter,125,Red,30,Female,Credit Card,85525,5081,3040,2793,78363,2081,84196,67217,16979,11,5
ORD00347,13-02-2025,2025,2,February,Q1,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,SP 125,Commuter,125,Black,47,Female,Credit Card,90802,5962,3975,6026,83259,1581,93260,71340,21920,11,3.7
ORD00365,20-07-2026,2026,7,July,Q3,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Shine 125,Commuter,125,White,21,Male,Cash,84971,5819,6793,8521,0,374,94092,68011,26081,14,4.1
ORD00405,9/11/2026,2026,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Unicorn,Premium Commuter,160,Red,23,Female,Cash,108833,5065,6935,1279,101942,1826,110156,90369,19787,9,4.3
ORD00410,13-09-2025,2025,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Online Booking,Activa 6G,Scooter,110,Grey,51,Female,Finance,83542,6973,5520,9574,71658,4911,86752,61266,25486,1,4.7
ORD00427,4/4/2026,2026,4,April,Q2,Karnataka,Hubli,Honda Dealer Hubli,Online Booking,Hornet 2.0,Sports,184,Grey,36,Male,UPI,143862,3897,7541,6498,0,1991,152013,111016,40997,5,3.6
ORD00428,11/9/2026,2026,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Online Booking,CB350,Premium,348,Grey,51,Male,Credit Card,213122,4394,6443,6380,0,3543,218008,175371,42637,13,4.5
ORD00466,21-02-2025,2025,2,February,Q1,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,SP 125,Commuter,125,Black,38,Male,Credit Card,94076,2481,6457,8904,0,1320,105636,68338,37298,7,3.9
ORD00474,9/11/2025,2025,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Hornet 2.0,Sports,184,Red,49,Female,Finance,144949,6551,5617,1182,138092,306,144891,108303,36588,4,3.8
