Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00021,2/6/2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,White,49,Female,Finance,107647,2672,6641,6111,0,912,116815,85040,31775,10,3.6
ORD00047,13-09-2026,2026,9,September,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Shine 125,Commuter,125,Red,46,Female,Credit Card,88929,3489,7492,8927,81483,3957,97902,65481,32421,13,3.6
ORD00053,19-09-2025,2025,9,September,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Hornet 2.0,Sports,184,White,39,Female,Credit Card,143600,807,5818,6222,142700,93,154740,109353,45387,4,4.9
ORD00064,15-06-2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,Grey,34,Female,Credit Card,112387,2085,4441,6823,108497,1805,119761,87697,32064,14,4.3
ORD00106,7/2/2026,2026,2,February,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Activa 6G,Scooter,110,Black,34,Female,Finance,81155,4943,4219,2915,71557,4655,78691,62762,15929,11,3.6
ORD00116,23-04-2026,2026,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,White,44,Female,Finance,114027,6426,7656,2122,0,2324,115055,88139,26916,11,4.8
ORD00141,6/1/2026,2026,1,January,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,SP 125,Commuter,125,Grey,29,Male,Cash,88781,3243,4589,2031,0,1955,90203,74370,15833,13,3.9
ORD00158,14-04-2025,2025,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Hornet 2.0,Sports,184,Red,29,Female,Cash,140690,2049,3142,9374,0,2222,148935,107219,41716,4,3.5
ORD00160,17-04-2025,2025,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,SP 125,Commuter,125,Black,38,Female,Credit Card,89793,4097,6740,7632,84485,1211,98857,69751,29106,15,4.2
ORD00167,16-11-2026,2026,11,November,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Unicorn,Premium Commuter,160,Black,30,Female,Cash,108558,934,4786,5361,0,3904,113867,90256,23611,6,4.1
ORD00170,14-05-2025,2025,5,May,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Shine 125,Commuter,125,Blue,36,Male,UPI,83476,3173,5101,1252,77959,2344,84312,66304,18008,14,3.9
ORD00175,20-08-2025,2025,8,August,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Hornet 2.0,Sports,184,Grey,36,Female,Finance,140782,6231,4151,1920,0,605,140017,106935,33082,13,4.5
ORD00192,1/10/2025,2025,10,October,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,CB350,Premium,348,Black,36,Female,Cash,213735,1842,6638,1439,211004,889,219081,175420,43661,11,4.8
ORD00197,16-05-2025,2025,5,May,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,SP 125,Commuter,125,Blue,23,Female,Credit Card,90600,3217,5769,2869,0,4897,91124,68911,22213,11,4.1
ORD00198,17-05-2025,2025,5,May,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,CB350,Premium,348,Grey,52,Female,Credit Card,214701,3086,6088,9377,210843,772,226308,172083,54225,10,4.2
ORD00203,10/2/2025,2025,2,February,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Unicorn,Premium Commuter,160,Grey,26,Female,Finance,112908,5346,7246,5907,105492,2070,118645,85595,33050,7,4.2
ORD00218,2/7/2025,2025,7,July,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Shine 125,Commuter,125,Blue,21,Female,Cash,86257,1525,6439,3122,80524,4208,90085,66168,23917,12,4
ORD00228,17-11-2026,2026,11,November,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Activa 6G,Scooter,110,Grey,38,Female,UPI,84101,854,4097,8310,0,3620,92034,60436,31598,6,4.6
ORD00262,5/6/2025,2025,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Activa 6G,Scooter,110,Blue,55,Female,Credit Card,83892,1605,6860,3977,0,4240,88884,64712,24172,1,4.8
ORD00270,15-07-2026,2026,7,July,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,CB350,Premium,348,Black,53,Male,UPI,207806,6716,4770,6080,0,2692,209248,162423,46825,15,4
ORD00289,22-06-2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Unicorn,Premium Commuter,160,Red,37,Male,Credit Card,109167,5866,3804,2802,0,1289,108618,89791,18827,2,4.3
ORD00297,30-04-2026,2026,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Shine 125,Commuter,125,White,39,Male,Finance,84997,4450,7402,1589,79147,1400,88138,68085,20053,11,3.8
ORD00298,29-07-2025,2025,7,July,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,CB350,Premium,348,Blue,29,Female,Cash,212856,4660,7965,8079,204430,3766,220474,176011,44463,13,3.9
ORD00322,4/4/2026,2026,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Activa 6G,Scooter,110,Grey,23,Female,UPI,82256,3592,6116,2475,0,803,86452,66209,20243,1,4.9
ORD00327,25-05-2025,2025,5,May,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Hornet 2.0,Sports,184,Blue,53,Male,Cash,138691,4766,5600,6109,129620,4305,141329,115145,26184,10,4.3
ORD00330,2/9/2026,2026,9,September,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,SP 125,Commuter,125,Black,21,Female,Cash,91886,1840,7592,6670,0,2138,102170,73611,28559,13,4.8
ORD00353,12/2/2025,2025,2,February,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Hornet 2.0,Sports,184,Black,31,Female,UPI,138996,4588,4124,7013,131399,3009,142536,109166,33370,14,4.6
ORD00368,21-06-2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Shine 125,Commuter,125,Red,37,Female,Cash,89763,6203,4159,8348,80783,2777,93290,63924,29366,9,3.9
ORD00378,3/6/2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,CB350,Premium,348,Red,47,Male,Credit Card,209550,2150,4953,7176,0,262,219267,174961,44306,12,5
ORD00381,30-12-2025,2025,12,December,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,CB350,Premium,348,Blue,55,Male,Credit Card,210677,6326,4936,9756,202324,2027,217016,171371,45645,6,4.7
ORD00382,4/1/2025,2025,1,January,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Shine 125,Commuter,125,Red,34,Male,UPI,84026,6858,6927,3307,0,3409,83993,70022,13971,12,4
ORD00460,18-10-2026,2026,10,October,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,Grey,20,Female,Cash,108662,533,4419,5756,106662,1467,116837,83206,33631,8,3.8
ORD00462,16-11-2025,2025,11,November,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,CB350,Premium,348,Red,22,Female,UPI,207802,5685,7068,7031,197441,4676,211540,158403,53137,12,5
ORD00470,14-12-2025,2025,12,December,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Hornet 2.0,Sports,184,Blue,48,Male,Finance,144960,5686,3250,4956,136069,3205,144275,110917,33358,1,4.4
ORD00478,11/10/2025,2025,10,October,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,Blue,32,Female,UPI,113339,2674,7527,1632,0,1763,118061,85558,32503,3,4.3
ORD00497,15-03-2025,2025,3,March,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Hornet 2.0,Sports,184,Red,30,Female,Credit Card,143116,4121,4716,1621,137039,1956,143376,118928,24448,2,3.7
ORD00516,30-04-2026,2026,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Activa 6G,Scooter,110,Red,54,Female,UPI,77095,2642,4146,9063,70191,4262,83400,63874,19526,5,5
ORD00528,20-11-2025,2025,11,November,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Activa 6G,Scooter,110,Grey,31,Male,Credit Card,80999,4306,3058,6240,76152,541,85450,63884,21566,14,3.8
ORD00534,21-08-2025,2025,8,August,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,Red,37,Female,Finance,107968,3678,7815,5538,0,3067,114576,83559,31017,6,3.5
ORD00546,19-03-2026,2026,3,March,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Activa 6G,Scooter,110,Grey,39,Female,Cash,84940,4637,7356,9213,76071,4232,92640,61638,31002,11,4.4
ORD00555,9/8/2025,2025,8,August,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Online Booking,Unicorn,Premium Commuter,160,White,48,Male,Cash,110811,6506,4448,9864,102986,1319,117298,87013,30285,9,4.9
ORD00628,24-10-2026,2026,10,October,Q4,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Activa 6G,Scooter,110,Grey,34,Male,Credit Card,80033,6633,6986,5447,0,754,85079,63523,21556,15,4.7
ORD00632,27-08-2025,2025,8,August,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Activa 6G,Scooter,110,Blue,55,Male,Cash,83337,1477,7675,8567,0,3733,94369,66905,27464,13,3.6
ORD00635,17-05-2026,2026,5,May,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Activa 6G,Scooter,110,Red,41,Female,Credit Card,77761,6236,4197,2986,0,4068,74640,67092,7548,5,4.3
