Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00005,23-11-2025,2025,11,November,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,SP 125,Commuter,125,Blue,27,Male,Cash,90754,2850,6951,7719,86615,1289,101285,69400,31885,10,4.9
ORD00028,3/11/2025,2025,11,November,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,SP 125,Commuter,125,Grey,45,Female,Cash,92099,1866,3464,6713,87094,3139,97271,76401,20870,15,4.8
ORD00041,4/8/2025,2025,8,August,Q3,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,CB350,Premium,348,Grey,40,Female,Credit Card,210885,6783,3770,4350,202069,2033,210189,175192,34997,13,4.7
ORD00044,3/10/2026,2026,10,October,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Showroom Walk-in,Hornet 2.0,Sports,184,Red,31,Female,Credit Card,144757,4175,7520,6564,140336,246,154420,115313,39107,3,4.3
ORD00097,9/8/2025,2025,8,August,Q3,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,Unicorn,Premium Commuter,160,Grey,30,Male,Finance,110340,4077,6058,6521,103952,2311,116531,82855,33676,15,4.1
ORD00101,27-04-2026,2026,4,April,Q2,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,CB350,Premium,348,Blue,24,Female,Finance,213263,1047,3672,6032,207898,4318,217602,160110,57492,6,4.9
ORD00119,27-05-2025,2025,5,May,Q2,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,SP 125,Commuter,125,Grey,37,Female,Cash,92863,4781,6432,3591,86340,1742,96363,73732,22631,9,4.3
ORD00121,22-02-2025,2025,2,February,Q1,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,CB350,Premium,348,White,21,Female,Finance,214507,2734,7842,8830,0,1571,226874,159029,67845,4,4.2
ORD00124,18-12-2026,2026,12,December,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,Shine 125,Commuter,125,Grey,27,Male,Cash,87709,6646,6356,2529,0,2953,86995,69652,17343,2,3.6
ORD00184,7/12/2025,2025,12,December,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,Hornet 2.0,Sports,184,Red,25,Male,Finance,138137,3279,6024,1938,130339,4519,138301,116941,21360,12,4.7
ORD00199,10/9/2026,2026,9,September,Q3,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,Hornet 2.0,Sports,184,Blue,43,Male,Credit Card,139468,4130,3078,7109,0,4640,140885,113909,26976,3,3.5
ORD00209,2/4/2025,2025,4,April,Q2,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Showroom Walk-in,Shine 125,Commuter,125,White,37,Female,Credit Card,87724,1386,3057,8134,0,4034,93495,65321,28174,14,3.9
ORD00214,3/3/2025,2025,3,March,Q1,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Showroom Walk-in,Hornet 2.0,Sports,184,White,45,Female,Finance,143479,2491,4477,5899,138524,2464,148900,116639,32261,12,3.5
ORD00222,19-11-2026,2026,11,November,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,Hornet 2.0,Sports,184,Red,44,Male,Finance,141797,1783,5338,5233,139781,233,150352,108346,42006,1,3.6
ORD00242,26-10-2026,2026,10,October,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,SP 125,Commuter,125,Black,43,Male,Finance,92969,5361,7983,9274,0,3280,101585,74788,26797,3,3.7
ORD00244,2/6/2026,2026,6,June,Q2,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,Unicorn,Premium Commuter,160,Blue,26,Female,Cash,114581,5077,7998,4038,0,629,120911,83398,37513,15,4.7
ORD00249,31-01-2025,2025,1,January,Q1,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,Unicorn,Premium Commuter,160,Red,54,Male,Finance,110011,921,5230,7192,105478,3612,117900,92104,25796,4,4.7
ORD00251,26-07-2025,2025,7,July,Q3,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Showroom Walk-in,Hornet 2.0,Sports,184,Black,47,Female,Cash,141213,1651,6836,2002,134951,4611,143789,116462,27327,2,3.7
ORD00255,25-01-2025,2025,1,January,Q1,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Showroom Walk-in,Unicorn,Premium Commuter,160,Blue,35,Female,UPI,114385,3667,5284,9665,0,2238,123429,82614,40815,13,4.5
