Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00033,2025-12-01,2025,1,January,Q1,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,Activa 6G,Scooter,110,Blue,53,Female,Cash,77385,3829,6005,5716,0,991,84286,65750,18536,10,3.9
ORD00052,21-08-2026,2026,8,August,Q3,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,Shine 125,Commuter,125,White,37,Female,UPI,83199,3426,4360,3644,79480,293,87484,65538,21946,6,4.6
ORD00072,16-05-2025,2025,5,May,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Showroom Walk-in,Unicorn,Premium Commuter,160,White,30,Male,UPI,114562,3520,5729,6315,107232,3810,119276,93135,26141,7,4
ORD00079,18-10-2025,2025,10,October,Q4,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,Unicorn,Premium Commuter,160,Blue,51,Male,UPI,109183,1625,6463,5709,106785,773,118957,84238,34719,10,4
ORD00085,30-04-2025,2025,4,April,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,Shine 125,Commuter,125,White,32,Female,Cash,82473,2643,6880,5311,78127,1703,90318,71924,18394,4,4.4
ORD00088,25-01-2025,2025,1,January,Q1,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,CB350,Premium,348,Black,28,Male,Finance,210368,5917,5204,7377,201283,3168,213864,177185,36679,11,4.4
ORD00092,16-08-2026,2026,8,August,Q3,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,CB350,Premium,348,Black,24,Male,Cash,211705,2069,7394,8014,205485,4151,220893,162070,58823,3,4.7
ORD00093,25-09-2025,2025,9,September,Q3,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,Hornet 2.0,Sports,184,Blue,47,Male,UPI,137112,6593,4487,1728,0,2762,133972,113116,20856,7,3.9
ORD00096,2026-06-03,2026,3,March,Q1,Maharashtra,Mumbai,Honda Dealer Mumbai,Showroom Walk-in,Shine 125,Commuter,125,Grey,40,Female,Finance,84531,5561,4949,3652,0,1079,86492,69232,17260,11,3.5
ORD00099,2025-11-06,2025,6,June,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,SP 125,Commuter,125,Grey,44,Female,Finance,90591,2769,6478,5922,0,3042,97180,71818,25362,4,4.4
ORD00118,2025-10-06,2025,6,June,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,Hornet 2.0,Sports,184,Blue,44,Female,Cash,138019,5780,7283,6217,129789,2450,143289,107955,35334,7,4.2
ORD00120,23-11-2026,2026,11,November,Q4,Maharashtra,Mumbai,Honda Dealer Mumbai,Showroom Walk-in,SP 125,Commuter,125,Red,45,Female,Finance,88754,6542,6623,2635,79229,2983,88487,73326,15161,1,4.1
