Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00022,26-07-2025,2025,7,July,Q3,Karnataka,Mysore,Honda Dealer Mysore,Showroom Walk-in,SP 125,Commuter,125,Blue,43,Female,Cash,90319,5392,3888,5351,83722,1205,92961,74062,18899,8,5
ORD00030,22-12-2025,2025,12,December,Q4,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,CB350,Premium,348,Red,23,Male,Credit Card,214896,5968,3869,9163,0,1652,220308,165021,55287,8,4.3
ORD00042,17-12-2025,2025,12,December,Q4,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,Hornet 2.0,Sports,184,Blue,49,Male,Finance,144601,103,6890,9209,0,4009,156588,111461,45127,11,3.9
ORD00063,19-01-2025,2025,1,January,Q1,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,SP 125,Commuter,125,Black,45,Male,UPI,94764,3407,6333,5786,0,4502,98974,76372,22602,6,5
ORD00087,18-04-2025,2025,4,April,Q2,Karnataka,Mysore,Honda Dealer Mysore,Showroom Walk-in,Hornet 2.0,Sports,184,Black,52,Female,Finance,139479,1264,3544,2065,0,3671,140153,115257,24896,6,3.6
ORD00109,13-10-2025,2025,10,October,Q4,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,Unicorn,Premium Commuter,160,Grey,48,Male,UPI,107890,6511,7483,5603,100639,740,113725,90481,23244,7,4.7
ORD00112,1/5/2025,2025,5,May,Q2,Karnataka,Mysore,Honda Dealer Mysore,Showroom Walk-in,Unicorn,Premium Commuter,160,White,20,Female,Credit Card,110442,4712,6187,2394,0,1812,112499,89436,23063,5,4.2
ORD00134,21-08-2026,2026,8,August,Q3,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,Unicorn,Premium Commuter,160,Black,34,Male,Cash,109411,438,7611,4175,0,3330,117429,89092,28337,10,4.5
ORD00159,5/12/2026,2026,12,December,Q4,Karnataka,Mysore,Honda Dealer Mysore,Online Booking,Unicorn,Premium Commuter,160,White,30,Male,Cash,108395,6235,4457,6211,97930,4230,108598,87623,20975,3,4.3
ORD00164,28-03-2025,2025,3,March,Q1,Karnataka,Mysore,Honda Dealer Mysore,Online Booking,CB350,Premium,348,Black,23,Male,Credit Card,207509,2716,3184,3302,204532,261,211018,176345,34673,9,3.7
