Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00003,20-07-2026,2026,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,SP 125,Commuter,125,Blue,20,Female,Cash,93279,3628,3476,7948,86328,3323,97752,70208,27544,7,4.7
ORD00011,26-04-2026,2026,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Activa 6G,Scooter,110,Grey,53,Male,Cash,79889,294,3266,2139,0,1237,83763,61438,22325,2,4.5
ORD00012,22-07-2025,2025,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Hornet 2.0,Sports,184,Blue,26,Male,UPI,140308,2652,3022,6354,0,3069,143963,106107,37856,12,4.7
ORD00013,24-09-2025,2025,9,September,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,CB350,Premium,348,White,44,Female,Credit Card,213535,187,5510,7697,0,78,226477,162714,63763,7,5
ORD00014,19-01-2025,2025,1,January,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Shine 125,Commuter,125,Black,39,Female,Credit Card,87841,2415,7559,8620,0,505,101100,67740,33360,3,4.2
ORD00015,17-02-2025,2025,2,February,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Hornet 2.0,Sports,184,Grey,30,Male,Credit Card,138158,1751,5405,6080,132188,4219,143673,115821,27852,8,3.7
ORD00020,1/7/2025,2025,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Shine 125,Commuter,125,Grey,51,Female,UPI,88400,6777,5926,7008,78910,2713,91844,64558,27286,9,3.5
ORD00027,3/1/2026,2026,1,January,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Activa 6G,Scooter,110,Grey,46,Female,UPI,81515,2376,4060,3037,75824,3315,82921,60801,22120,3,4.8
ORD00034,12/7/2026,2026,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Shine 125,Commuter,125,Red,40,Male,Finance,82951,1466,3706,8185,78554,2931,90445,68508,21937,12,5
ORD00038,25-12-2025,2025,12,December,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Unicorn,Premium Commuter,160,Black,53,Female,Finance,112253,4086,5190,9922,0,4017,119262,92505,26757,6,4
ORD00039,16-11-2026,2026,11,November,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Unicorn,Premium Commuter,160,Blue,44,Male,Cash,109960,1094,7979,2671,0,3648,115868,92477,23391,5,3.9
ORD00054,29-10-2025,2025,10,October,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Hornet 2.0,Sports,184,White,35,Female,Credit Card,137434,3373,3674,6857,0,823,143769,112633,31136,13,4.6
ORD00055,1/6/2026,2026,6,June,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,SP 125,Commuter,125,Blue,23,Female,Cash,92557,555,3455,8223,88891,3111,100569,71539,29030,4,4.4
ORD00056,31-10-2025,2025,10,October,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Hornet 2.0,Sports,184,Grey,34,Female,Cash,140718,1518,3301,8018,138490,710,149809,107281,42528,10,3.7
ORD00062,11/4/2026,2026,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,SP 125,Commuter,125,Blue,38,Female,Cash,94085,3493,4163,1435,87789,2803,93387,70622,22765,3,3.6
